ID,Route,Section,Component/root,Purpose,Current visual container,Current background,Transition in,Transition out,Relationship to previous,Relationship to next
S0021,/about/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 455px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0022,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 583px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0023,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 714px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0024,/about/,band,band,Develop the page's primary narrative or task,section depth 1; 164px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0025,/about/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 829px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares LMD focus size compared with SLM in Sharma et al.
S0026,/about/,LMD focus size compared with SLM in Sharma et al.,evidence-fact-grid__card ordered-card-strong card-hover p-5,"Present inspectable evidence, source context, or limitations",article depth 5; 342px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Parameters from Manish Sharma's 2018 LMD paper
S0027,/about/,Parameters from Manish Sharma's 2018 LMD paper,evidence-fact-grid__card ordered-card-strong card-hover p-5,"Present inspectable evidence, source context, or limitations",article depth 5; 342px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows LMD focus size compared with SLM in Sharma et al.,Prepares 316L powder size in the 2018 lattice experiment
S0028,/about/,316L powder size in the 2018 lattice experiment,evidence-fact-grid__card ordered-card-strong card-hover p-5,"Present inspectable evidence, source context, or limitations",article depth 5; 342px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Parameters from Manish Sharma's 2018 LMD paper,Prepares BreitbahnDED project targets
S0029,/about/,BreitbahnDED project targets,evidence-fact-grid__card ordered-card-strong card-hover p-5,"Present inspectable evidence, source context, or limitations",article depth 5; 342px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows 316L powder size in the 2018 lattice experiment,Prepares an unlabeled structural region
S0030,/about/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 737px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows BreitbahnDED project targets,Prepares Industrial AI and decision support
S0031,/about/,Industrial AI and decision support,ordered-card-strong card-hover p-6,Provide supporting context without interrupting the primary flow,article depth 4; 194px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Process monitoring and machine vision
S0032,/about/,Process monitoring and machine vision,ordered-card-strong card-hover p-6,Develop the page's primary narrative or task,article depth 4; 194px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Industrial AI and decision support,Prepares Robotic industrial workflows
S0033,/about/,Robotic industrial workflows,ordered-card-strong card-hover p-6,Develop the page's primary narrative or task,article depth 4; 194px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Process monitoring and machine vision,Prepares LMD/DED process understanding
S0034,/about/,LMD/DED process understanding,ordered-card-strong card-hover p-6,Develop the page's primary narrative or task,article depth 4; 194px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Robotic industrial workflows,Prepares AI with engineering evidence
S0035,/about/,AI with engineering evidence,ordered-card-strong card-hover p-6,"Present inspectable evidence, source context, or limitations",article depth 4; 194px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows LMD/DED process understanding,Prepares RFQ and engineering information structure
S0036,/about/,RFQ and engineering information structure,ordered-card-strong card-hover p-6,Develop the page's primary narrative or task,article depth 4; 194px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows AI with engineering evidence,Prepares an unlabeled structural region
S0037,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 760px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows RFQ and engineering information structure,Prepares an unlabeled structural region
S0038,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 725px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares Height is not a cosmetic variable.
S0039,/about/,Height is not a cosmetic variable.,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares A camera is not a certificate.
S0040,/about/,A camera is not a certificate.,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 4; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows Height is not a cosmetic variable.,Prepares RFQs fail when they hide risk.
S0041,/about/,RFQs fail when they hide risk.,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows A camera is not a certificate.,Prepares Traceability is a product feature.
S0042,/about/,Traceability is a product feature.,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 4; 130px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows RFQs fail when they hide risk.,Prepares an unlabeled structural region
S0043,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 821px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows Traceability is a product feature.,Prepares an unlabeled structural region
S0044,/about/,ordered-card grid gap-5 p-6,ordered-card grid gap-5 p-6,Develop the page's primary narrative or task,article depth 3; 154px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0045,/about/,ordered-card grid gap-5 p-6,ordered-card grid gap-5 p-6,Develop the page's primary narrative or task,article depth 3; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0046,/about/,ordered-card grid gap-5 p-6,ordered-card grid gap-5 p-6,Develop the page's primary narrative or task,article depth 3; 154px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0047,/about/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 479px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0048,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 884px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares External PhD Researcher
S0049,/about/,External PhD Researcher,ordered-card p-5,Develop the page's primary narrative or task,article depth 5; 158px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares M.Sc. Lasers and Photonics
S0050,/about/,M.Sc. Lasers and Photonics,ordered-card p-5,Develop the page's primary narrative or task,article depth 5; 134px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows External PhD Researcher,Prepares B.Tech. Electrical Engineering
S0051,/about/,B.Tech. Electrical Engineering,ordered-card p-5,Develop the page's primary narrative or task,article depth 5; 134px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows M.Sc. Lasers and Photonics,Prepares an unlabeled structural region
S0052,/about/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 953px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows B.Tech. Electrical Engineering,Prepares an unlabeled structural region
S0053,/about/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Continue through the public profile and work
S0054,/about/,Continue through the public profile and work,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0055,/about/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Continue through the public profile and work,Prepares Shared page ending / footer
S0056,/agent-pack/,site-shell info-page__masthead grid gap-10,site-shell info-page__masthead grid gap-10,Orient the visitor and establish the page promise,section depth 1; 564px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows Global header / page start,Prepares an unlabeled structural region
S0057,/agent-pack/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 359px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0058,/agent-pack/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 807px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0059,/agent-pack/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 776px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0060,/agent-pack/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 916px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0061,/agent-pack/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 510px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0062,/agent-pack/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 801px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0063,/agent-pack/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Turn vague requests into usable LMD data
S0064,/agent-pack/,Turn vague requests into usable LMD data,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0065,/agent-pack/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Turn vague requests into usable LMD data,Prepares Shared page ending / footer
S0066,/brief-standard/,site-shell info-page__masthead section-y,site-shell info-page__masthead section-y,Orient the visitor and establish the page promise,section depth 1; 567px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows Global header / page start,Prepares an unlabeled structural region
S0067,/brief-standard/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 554px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,"Prepares Portable, bounded, review-oriented."
S0068,/brief-standard/,"Portable, bounded, review-oriented.",ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 360px,"rgb(15, 17, 16)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0069,/brief-standard/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 1072px,"rgba(0, 0, 0, 0)",surface reset,surface reset,"Follows Portable, bounded, review-oriented.",Prepares an unlabeled structural region
S0070,/brief-standard/,ordered-card-strong p-6,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 880px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0071,/brief-standard/,ordered-card p-6,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 880px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0072,/brief-standard/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 666px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0073,/brief-standard/,ordered-card-strong p-6,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 473px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0074,/brief-standard/,ordered-card p-6,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 473px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0075,/brief-standard/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 809px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0076,/brief-standard/,ordered-card-strong p-6,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 617px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0077,/brief-standard/,ordered-card p-6,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 617px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0078,/brief-standard/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 1066px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0079,/brief-standard/,site-shell section-y scroll-mt-24,site-shell section-y scroll-mt-24,Develop the page's primary narrative or task,section depth 1; 1550px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0080,/brief-standard/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Turn vague requests into usable LMD data
S0081,/brief-standard/,Turn vague requests into usable LMD data,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0082,/brief-standard/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Turn vague requests into usable LMD data,Prepares Shared page ending / footer
S0083,/brief-template/,brief-template-page__masthead site-shell section-y,brief-template-page__masthead site-shell section-y,Orient the visitor and establish the page promise,section depth 1; 747px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0084,/brief-template/,band section-y premium-flow-tool-surface,band section-y premium-flow-tool-surface,Develop the page's primary narrative or task,section depth 1; 575px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares It makes uncertainty usable.
S0085,/brief-template/,It makes uncertainty usable.,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 381px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Use it before the recommendation hardens.
S0086,/brief-template/,Use it before the recommendation hardens.,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 381px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows It makes uncertainty usable.,Prepares an unlabeled structural region
S0087,/brief-template/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 904px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows Use it before the recommendation hardens.,"Prepares One source object, multiple travel modes."
S0088,/brief-template/,"One source object, multiple travel modes.",ordered-card-strong p-6,"Present inspectable evidence, source context, or limitations",article depth 3; 712px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares What makes a brief useful?
S0089,/brief-template/,What makes a brief useful?,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 712px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,"Follows One source object, multiple travel modes.",Prepares an unlabeled structural region
S0090,/brief-template/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 847px,"rgb(23, 24, 23)",surface reset,surface reset,Follows What makes a brief useful?,Prepares an unlabeled structural region
S0091,/brief-template/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 896px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0092,/brief-template/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 4207px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0093,/brief-template/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Turn vague requests into usable LMD data
S0094,/brief-template/,Turn vague requests into usable LMD data,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0095,/brief-template/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,"rgb(15, 14, 13)",surface reset,same canvas / spacing gap,Follows Turn vague requests into usable LMD data,Prepares Shared page ending / footer
S0096,/claims/,site-shell info-page__masthead section-y,site-shell info-page__masthead section-y,Orient the visitor and establish the page promise,section depth 1; 506px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0097,/claims/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 4531px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0098,/claims/,section (unclassed),section (unclassed),Develop the page's primary narrative or task,section depth 3; 2511px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows an unlabeled structural region,Prepares 750 kg+ components
S0099,/claims/,750 kg+ components,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 461px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares 6 structural nodes
S0100,/claims/,6 structural nodes,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 461px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows 750 kg+ components,Prepares 219 h single-node build
S0101,/claims/,219 h single-node build,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 424px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows 6 structural nodes,Prepares approx. 38 km robot path
S0102,/claims/,approx. 38 km robot path,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 424px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows 219 h single-node build,Prepares 1M+ melt-pool images
S0103,/claims/,1M+ melt-pool images,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 485px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows approx. 38 km robot path,Prepares KIT validation context
S0104,/claims/,KIT validation context,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 485px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows 1M+ melt-pool images,Prepares local wear repair
S0105,/claims/,local wear repair,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 485px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows KIT validation context,Prepares local crack context
S0106,/claims/,local crack context,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 485px,"rgb(15, 17, 16)",same canvas / spacing gap,same canvas / spacing gap,Follows local wear repair,Prepares 130 mm build-and-coat drill
S0107,/claims/,130 mm build-and-coat drill,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 448px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows local crack context,Prepares an unlabeled structural region
S0108,/claims/,section (unclassed),section (unclassed),Develop the page's primary narrative or task,section depth 3; 577px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows 130 mm build-and-coat drill,Prepares 500-record LMD/DED map
S0109,/claims/,500-record LMD/DED map,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 448px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares BreitbahnDED targets
S0110,/claims/,BreitbahnDED targets,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 448px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows 500-record LMD/DED map,Prepares an unlabeled structural region
S0111,/claims/,section (unclassed),section (unclassed),Develop the page's primary narrative or task,section depth 3; 577px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows BreitbahnDED targets,Prepares 2018 LMD paper parameters
S0112,/claims/,2018 LMD paper parameters,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 448px,"rgb(15, 17, 16)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0113,/claims/,section (unclassed),section (unclassed),Develop the page's primary narrative or task,section depth 3; 553px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows 2018 LMD paper parameters,Prepares 500-record LMD/DED map
S0114,/claims/,500-record LMD/DED map,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 424px,"rgb(15, 17, 16)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
S0115,/claims/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 318px,"rgba(0, 0, 0, 0)",surface reset,surface reset,Follows 500-record LMD/DED map,Prepares machine-hour scale
S0116,/claims/,machine-hour scale,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 574px,"rgb(15, 17, 16)",surface reset,same canvas / spacing gap,Follows an unlabeled structural region,Prepares print-time reduction
S0117,/claims/,print-time reduction,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 574px,"rgb(15, 17, 16)",same canvas / spacing gap,surface reset,Follows machine-hour scale,Prepares an unlabeled structural region
S0118,/claims/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 327px,"rgba(0, 0, 0, 0)",surface reset,same canvas / spacing gap,Follows print-time reduction,Prepares an unlabeled structural region
S0119,/claims/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 108px,"rgba(0, 0, 0, 0)",same canvas / spacing gap,same canvas / spacing gap,Follows an unlabeled structural region,Prepares Shared page ending / footer
S0120,/contact/,site-shell info-page__masthead inner-hero-grid section-y,site-shell info-page__masthead inner-hero-grid section-y,Orient the visitor and establish the page promise,section depth 1; 642px,"rgb(10, 11, 11)",same canvas / spacing gap,surface reset,Follows Global header / page start,Prepares an unlabeled structural region
S0121,/contact/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 765px,"rgb(23, 24, 23)",surface reset,surface reset,Follows an unlabeled structural region,Prepares an unlabeled structural region
