ID,Route,Section,Component/root,Current layout,Left mass,Right mass,Baseline balance,Baseline alignment,Baseline whitespace,Issue,Final composition,Final balance,Final alignment,Final whitespace,Shared primitive,Remaining limitation
11,/demo/,"Header; masthead; demo workbench; result; closing; footer",tools-workbench,"Functional split",7,8,7,8,7,"No accidental imbalance","Preserved control order and workbench",8,8,8,"None","Result surface intentionally denser"
12,/domains/lmd-ded/,"Header; masthead; capability/proof groups; sources; closing; footer",info-page,"Several heading/content splits",5,8,6,7,6,"Sparse left columns","Full-width intro before dense grids",8,8,8,"balanced-section-intro/aligned-card-grid","Long domain labels"
13,/evidence/,"Header; masthead; process; fact groups; cases; source map; closing; footer",evidence-base,"Dense evidence maps beside short introductions",4,9,5,6,5,"Repeated hollow split columns","Full-width evidence introductions and aligned source cards",8,8,8,"balanced-section-intro/aligned-card-grid","Verified source map remains intentionally dense"
14,/for-ai-agents/,"Header; masthead; agent paths; source groups; footer",info-page,"Reference cards beside short intro",5,8,6,7,6,"Sparse narrative side","Full-width intro and peer grid",8,8,8,"balanced-section-intro/aligned-card-grid","Long machine-readable labels"
15,/frameworks/,"Header; framework masthead; framework index; boundary; path; footer",framework-index,"Balanced framework peer grid",7,7,7,7,7,"Minor long-title action variance","Preserve peer grid and auto action alignment",8,8,8,"aligned-card-grid","Long technical titles may wrap"
16,/frameworks/lmd-ai-maturity-model/,"Header; masthead; model/article; sources; path; footer",framework-article,"Reading and reference split",6,8,6,7,6,"Short intro beside dense details","Full-width intro before article/reference groups",8,8,8,"balanced-section-intro","Article content intentionally single column"
17,/frameworks/lmd-ai-readiness-score/,"Header; masthead; model/article; sources; path; footer",framework-article,"Reading and reference split",6,8,6,7,6,"Short intro beside dense details","Full-width intro before article/reference groups",8,8,8,"balanced-section-intro","Article content intentionally single column"
18,/frameworks/lmd-failure-atlas/,"Header; masthead; model/article; sources; path; footer",framework-article,"Reading and reference split",6,8,6,7,6,"Short intro beside dense details","Full-width intro before article/reference groups",8,8,8,"balanced-section-intro","Article content intentionally single column"
19,/frameworks/lmd-quality-evidence-ladder/,"Header; masthead; model/article; sources; path; footer",framework-article,"Reading and reference split",6,8,6,7,6,"Short intro beside dense details","Full-width intro before article/reference groups",8,8,8,"balanced-section-intro","Article content intentionally single column"
20,/frameworks/lmd-repairability-index/,"Header; masthead; model/article; sources; path; footer",framework-article,"Reading and reference split",6,8,6,7,6,"Short intro beside dense details","Full-width intro before article/reference groups",8,8,8,"balanced-section-intro","Article content intentionally single column"
21,/glossary/,"Header; masthead; term groups; closing; footer",glossary-index,"Alphabetical editorial rows",7,7,7,7,7,"Minor row rhythm variance","Retained editorial list",8,8,8,"balanced-section-intro","Term descriptions vary by design"
22,/glossary/directed-energy-deposition/,"Header; masthead; term article; related path; footer",glossary-article,"Reading article",8,8,8,8,8,"None","No forced split",8,8,8,"balanced-section-intro","None"
23,/glossary/laser-cladding/,"Header; masthead; term article; related path; footer",glossary-article,"Reading article",8,8,8,8,8,"None","No forced split",8,8,8,"balanced-section-intro","None"
24,/glossary/laser-metal-deposition/,"Header; masthead; term article; related path; footer",glossary-article,"Reading article",8,8,8,8,8,"None","No forced split",8,8,8,"balanced-section-intro","None"
25,/glossary/melt-pool-monitoring/,"Header; masthead; term article; related path; footer",glossary-article,"Reading article",8,8,8,8,8,"None","No forced split",8,8,8,"balanced-section-intro","None"
26,/identity/,"Header; masthead; identity/proof groups; closing; footer",info-page,"Sparse headings beside profile groups",5,8,6,7,6,"Hollow split column","Full-width intro above grouped content",8,8,8,"balanced-section-intro/aligned-card-grid","Dense link groups retain source order"
27,/industrial-proof/,"Header; masthead; cases; article claims; source map; closing; footer",industrial-proof,"Dense proof/source maps beside short intro",5,9,5,6,5,"Repeated imbalanced split","Full-width introductions; retain case peers",8,8,8,"balanced-section-intro/aligned-card-grid","Source map density remains necessary"
28,/lab-notes/,"Header; masthead; Lab Note card grid; footer",lab-notes-index,"Peer content cards",7,7,7,7,7,"Long-title action baseline variance","Equal rows and auto actions",8,8,8,"aligned-card-grid/equal-card-grid","Long titles may add a line"
29,/lab-notes/a-prediction-is-not-yet-an-industrial-decision/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
30,/lab-notes/ai-red-team-questions-for-lmd-repair-recommendations/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
31,/lab-notes/camera-is-not-a-certificate/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
32,/lab-notes/ded-lb-m-terms-ai-systems-should-not-mix-up/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
33,/lab-notes/from-process-signals-to-inspection-evidence-in-lmd/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
34,/lab-notes/height-is-not-cosmetic/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
35,/lab-notes/lmd-vs-slm-decision-signals/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
36,/lab-notes/melt-pool-monitoring-is-not-quality-proof/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
37,/lab-notes/post-machining-is-part-of-the-lmd-repair-plan/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
38,/lab-notes/rfqs-fail-when-they-hide-risk/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
39,/lab-notes/structuring-an-lmd-rfq-for-ai-agents/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
40,/lab-notes/traceability-is-a-product-feature/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
41,/lab-notes/what-ai-needs-before-lmd-repair/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
42,/lab-notes/why-local-damage-on-large-parts-is-an-lmd-signal/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
43,/lab-notes/why-many-lmd-rfqs-fail-before-engineering-review/,"Header; article masthead; reading surface; evidence; related; footer",lab-note-article,"Single-column article",8,8,8,8,8,"None","No forced symmetry",8,8,8,"None","None"
44,/links/,"Header; masthead; verified link groups; footer",info-page,"Link-grid reference page",6,8,6,7,6,"Short intro versus dense links","Full-width intro and aligned links",8,8,8,"balanced-section-intro/aligned-card-grid","Some labels vary in length"
45,/no-hype/,"Header; masthead; policy narrative; footer",info-page,"Narrative content",7,7,7,7,7,"Minor split whitespace","Full-width narrative intro",8,8,8,"balanced-section-intro","None"
46,/playbooks/,"Header; masthead; playbook groups; footer",info-page,"Reference groups",6,8,6,7,6,"Sparse heading side","Full-width intro before maps",8,8,8,"balanced-section-intro/aligned-card-grid","Long titles"
47,/press-kit/,"Header; masthead; profile/contact assets; footer",info-page,"Mixed profile groups",6,8,6,7,6,"Uneven action rows","Aligned peer actions and full-width intros",8,8,8,"balanced-section-intro/aligned-card-grid","Asset groups differ semantically"
48,/profile/,"Header; masthead; public-profile paths; footer",info-page,"Identity link groups",6,8,6,7,6,"Sparse heading side","Full-width intro and aligned links",8,8,8,"balanced-section-intro/aligned-card-grid","External labels vary"
49,/profile/public-profile/,"Header; masthead; proof/profile groups; closing; footer",info-page,"Identity/proof split",5,8,6,7,6,"Short left introduction","Full-width intro before dense groups",8,8,8,"balanced-section-intro/aligned-card-grid","None"
50,/public-work/,"Header; masthead; context; established work; cases; collections; source groups; closing; footer",public-work-index,"Profile links left versus dense Exafuse context right",3,9,4,6,4,"Accidentally asymmetric source section","Two stacked full-width source groups",8,8,8,"balanced-section-intro/aligned-card-grid","Exafuse source map intentionally dense"
51,/research/,"Header; masthead; research index; footer",research-index,"Editorial reference rows",7,7,7,7,7,"Minor action variance","Equal peer rows where comparable",8,8,8,"aligned-card-grid","Mixed-source descriptions vary"
52,/research/core-lmd-ai-sources/,"Header; masthead; research article; sources; footer",research-article,"Reading/reference split",6,8,6,7,6,"Short intro beside sources","Full-width intro before dense maps",8,8,8,"balanced-section-intro","Long citations"
53,/resources/,"Header; masthead; resource groups; footer",resource-index,"Dense grouped cards",6,8,6,7,6,"Intro too light for group density","Full-width introduction and peer-card actions",8,8,8,"balanced-section-intro/aligned-card-grid","Intentional content density"
54,/review/,"Header; masthead; review workbench; boundary; footer",tools-workbench,"Functional editor/result split",7,8,7,8,7,"Functional asymmetry","Preserved workbench balance",8,8,8,"None","Result surface deliberately denser"
55,/site-map/,"Header; masthead; route matrix; footer",info-page,"Dense route reference map",6,8,6,7,6,"Sparse title beside map","Full-width introduction",8,8,8,"balanced-section-intro","Route map remains dense by purpose"
56,/thesis/,"Header; masthead; narrative chapters; proof groups; closing; footer",info-page,"Long-form narrative",7,7,7,7,7,"Some heading/content split whitespace","Full-width introductions where dense",8,8,8,"balanced-section-intro","Long-form remains intentionally calm"
57,/tools/,"Header; masthead; Cockpit; operating loop; agent workflow; footer",tools-workbench,"Narrative and functional scenes",7,8,7,8,7,"Tool output intentionally heavier","Preserved functional tool hierarchy",8,8,8,"None","Interactive output density"
58,/trust/,"Header; masthead; trust/policy sections; closing; footer",info-page,"Narrative and policy groups",6,8,6,7,6,"Sparse heading side in dense groups","Full-width introductions and aligned links",8,8,8,"balanced-section-intro/aligned-card-grid","Long policy copy"
