"Route","Family","Baseline structural regions","Baseline visible chapter estimate","Primary issue","Severity","Root cause","Dominant moment","Continuity device","Major transitions","Target chapters","Implementation scope","Final visible chapters","Baseline flow score","Final flow score","Baseline transition score","Final transition score","Baseline pacing score","Final pacing score","Baseline card-restraint score","Final card-restraint score","Baseline ending score","Final ending score","Changes implemented","Remaining constraint","Final severity"
"/frameworks/lmd-ai-readiness-score/","Framework detail","22","4","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/frameworks/lmd-failure-atlas/","Framework detail","28","4","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/frameworks/lmd-quality-evidence-ladder/","Framework detail","23","4","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/frameworks/lmd-repairability-index/","Framework detail","23","4","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/glossary/","Glossary index","6","5","Masthead, collection groups, boundary, and ending restart too often","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","scannable collection or evidence map","shared collection baseline","Surface Overlap; Footer Dissolve","Compact orientation -> Primary collection -> Context or boundary -> Integrated ending","Shared listing/reference family styles","4","5.6","7.1","5","6.9","5.2","7","5.5","6.9","4.8","7.1","Consolidated orientation and collection regions into one discovery canvas with an integrated ending.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/glossary/directed-energy-deposition/","Glossary detail","16","4","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/glossary/laser-cladding/","Glossary detail","16","4","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/glossary/laser-metal-deposition/","Glossary detail","17","4","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/glossary/melt-pool-monitoring/","Glossary detail","16","4","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/identity/","Informational / reference","12","7","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/industrial-proof/","Evidence / reference","25","8","Masthead, collection groups, boundary, and ending restart too often","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","scannable collection or evidence map","shared collection baseline","Surface Overlap; Footer Dissolve","Compact orientation -> Primary collection -> Context or boundary -> Integrated ending","Shared listing/reference family styles","4","5.6","7.1","5","6.9","5.2","7","5.5","6.9","4.8","7.1","Consolidated orientation and collection regions into one discovery canvas with an integrated ending.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/","Lab Notes index","21","5","Masthead, collection groups, boundary, and ending restart too often","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","scannable collection or evidence map","shared collection baseline","Surface Overlap; Footer Dissolve","Compact orientation -> Primary collection -> Context or boundary -> Integrated ending","Shared listing/reference family styles","4","5.6","7.1","5","6.9","5.2","7","5.5","6.9","4.8","7.1","Consolidated orientation and collection regions into one discovery canvas with an integrated ending.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/a-prediction-is-not-yet-an-industrial-decision/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/ai-red-team-questions-for-lmd-repair-recommendations/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/camera-is-not-a-certificate/","Lab Note detail","17","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/ded-lb-m-terms-ai-systems-should-not-mix-up/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/from-process-signals-to-inspection-evidence-in-lmd/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/height-is-not-cosmetic/","Lab Note detail","17","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/lmd-vs-slm-decision-signals/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/melt-pool-monitoring-is-not-quality-proof/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/post-machining-is-part-of-the-lmd-repair-plan/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/rfqs-fail-when-they-hide-risk/","Lab Note detail","17","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/structuring-an-lmd-rfq-for-ai-agents/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/traceability-is-a-product-feature/","Lab Note detail","17","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/what-ai-needs-before-lmd-repair/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/why-local-damage-on-large-parts-is-an-lmd-signal/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/lab-notes/why-many-lmd-rfqs-fail-before-engineering-review/","Lab Note detail","11","5","Reading, rails, related paths, provenance, and footer appear as separate apparatus","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","calm reading/model surface","reading measure or model axis","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary reading/model -> Evidence and practical context -> Related conclusion","Shared article template and ending styles","4","5.6","7.2","5","7","5.2","7.4","5.5","7.2","4.8","7.2","Applied calm masthead, reading/model, reference, and shared-ending scenes through the shared article architecture.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/links/","Informational / reference","4","3","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/no-hype/","Informational / reference","11","4","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/playbooks/","Informational / reference","7","3","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/press-kit/","Informational / reference","13","8","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
"/profile/","Informational / reference","4","3","Each semantic section presents itself as a new visual module","P2","Section-level backgrounds, generous repeated gaps, and autonomous card groups outweigh page-level narrative grouping","page-specific proposition","shared narrative baseline","Surface Overlap; Footer Dissolve","Editorial masthead -> Primary explanation -> Proof or practical context -> Related conclusion","Shared informational family styles","4","5.6","6.9","5","6.8","5.2","6.9","5.5","6.7","4.8","7","Removed repeated full-width section restarts and integrated related paths, provenance, and footer transition.","Minor route-specific density variation remains because semantic sections and source order were intentionally preserved.","P3"
