ID,Route,Section,Component/root,Purpose,Layout,Scene type,Visual weight,Transition in,Transition out
S0016,/404,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 0; 661px,Narrative,substantial,same canvas / spacing gap,surface reset
S0017,/404,Try the route without the final segment.,ordered-card-strong p-6 md:p-7,Provide supporting context without interrupting the primary flow,aside depth 2; 469px,Narrative,supporting,surface reset,surface reset
S0018,/404,band section-y,band section-y,Develop the page's primary narrative or task,section depth 0; 514px,Narrative,substantial,surface reset,surface reset
S0019,/404,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 108px,Instrument,supporting,surface reset,same canvas / spacing gap
S0020,/about/,site-shell info-page__masthead grid min-h-[calc(100svh-4.5rem)],site-shell info-page__masthead grid min-h-[calc(100svh-4.5rem)],Orient the visitor and establish the page promise,section depth 1; 1040px,Brand,dominant,same canvas / spacing gap,same canvas / spacing gap
S0021,/about/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 455px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0022,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 583px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0023,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 714px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0024,/about/,band,band,Develop the page's primary narrative or task,section depth 1; 164px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0025,/about/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 829px,Narrative,substantial,same canvas / spacing gap,surface reset
S0026,/about/,LMD focus size compared with SLM in Sharma et al.,evidence-fact-grid__card ordered-card-strong card-hover p-5,"Present inspectable evidence, source context, or limitations",article depth 5; 342px,Reference,supporting,surface reset,same canvas / spacing gap
S0027,/about/,Parameters from Manish Sharma's 2018 LMD paper,evidence-fact-grid__card ordered-card-strong card-hover p-5,"Present inspectable evidence, source context, or limitations",article depth 5; 342px,Reference,supporting,same canvas / spacing gap,same canvas / spacing gap
S0028,/about/,316L powder size in the 2018 lattice experiment,evidence-fact-grid__card ordered-card-strong card-hover p-5,"Present inspectable evidence, source context, or limitations",article depth 5; 342px,Reference,supporting,same canvas / spacing gap,same canvas / spacing gap
S0029,/about/,BreitbahnDED project targets,evidence-fact-grid__card ordered-card-strong card-hover p-5,"Present inspectable evidence, source context, or limitations",article depth 5; 342px,Reference,supporting,same canvas / spacing gap,surface reset
S0030,/about/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 737px,Narrative,substantial,surface reset,surface reset
S0031,/about/,Industrial AI and decision support,ordered-card-strong card-hover p-6,Provide supporting context without interrupting the primary flow,article depth 4; 194px,Narrative,supporting,surface reset,same canvas / spacing gap
S0032,/about/,Process monitoring and machine vision,ordered-card-strong card-hover p-6,Develop the page's primary narrative or task,article depth 4; 194px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0033,/about/,Robotic industrial workflows,ordered-card-strong card-hover p-6,Develop the page's primary narrative or task,article depth 4; 194px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0034,/about/,LMD/DED process understanding,ordered-card-strong card-hover p-6,Develop the page's primary narrative or task,article depth 4; 194px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0035,/about/,AI with engineering evidence,ordered-card-strong card-hover p-6,"Present inspectable evidence, source context, or limitations",article depth 4; 194px,Reference,supporting,same canvas / spacing gap,same canvas / spacing gap
S0036,/about/,RFQ and engineering information structure,ordered-card-strong card-hover p-6,Develop the page's primary narrative or task,article depth 4; 194px,Instrument,supporting,same canvas / spacing gap,surface reset
S0037,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 760px,Narrative,substantial,surface reset,same canvas / spacing gap
S0038,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 725px,Narrative,substantial,same canvas / spacing gap,surface reset
S0039,/about/,Height is not a cosmetic variable.,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,surface reset,same canvas / spacing gap
S0040,/about/,A camera is not a certificate.,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 4; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0041,/about/,RFQs fail when they hide risk.,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0042,/about/,Traceability is a product feature.,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 4; 130px,Narrative,supporting,same canvas / spacing gap,surface reset
S0043,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 821px,Narrative,substantial,surface reset,surface reset
S0044,/about/,ordered-card grid gap-5 p-6,ordered-card grid gap-5 p-6,Develop the page's primary narrative or task,article depth 3; 154px,Narrative,supporting,surface reset,same canvas / spacing gap
S0045,/about/,ordered-card grid gap-5 p-6,ordered-card grid gap-5 p-6,Develop the page's primary narrative or task,article depth 3; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0046,/about/,ordered-card grid gap-5 p-6,ordered-card grid gap-5 p-6,Develop the page's primary narrative or task,article depth 3; 154px,Narrative,supporting,same canvas / spacing gap,surface reset
S0047,/about/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 479px,Narrative,supporting,surface reset,same canvas / spacing gap
S0048,/about/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 884px,Narrative,substantial,same canvas / spacing gap,surface reset
S0049,/about/,External PhD Researcher,ordered-card p-5,Develop the page's primary narrative or task,article depth 5; 158px,Utility/recovery,supporting,surface reset,same canvas / spacing gap
S0050,/about/,M.Sc. Lasers and Photonics,ordered-card p-5,Develop the page's primary narrative or task,article depth 5; 134px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0051,/about/,B.Tech. Electrical Engineering,ordered-card p-5,Develop the page's primary narrative or task,article depth 5; 134px,Narrative,supporting,same canvas / spacing gap,surface reset
S0052,/about/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 953px,Narrative,dominant,surface reset,same canvas / spacing gap
S0053,/about/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0054,/about/,Continue through the public profile and work,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0055,/about/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0056,/agent-pack/,site-shell info-page__masthead grid gap-10,site-shell info-page__masthead grid gap-10,Orient the visitor and establish the page promise,section depth 1; 564px,Brand,substantial,same canvas / spacing gap,same canvas / spacing gap
S0057,/agent-pack/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 359px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0058,/agent-pack/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 807px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0059,/agent-pack/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 776px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0060,/agent-pack/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 916px,Narrative,dominant,same canvas / spacing gap,same canvas / spacing gap
S0061,/agent-pack/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 510px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0062,/agent-pack/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 801px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0063,/agent-pack/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0064,/agent-pack/,Turn vague requests into usable LMD data,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0065,/agent-pack/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0066,/brief-standard/,site-shell info-page__masthead section-y,site-shell info-page__masthead section-y,Orient the visitor and establish the page promise,section depth 1; 567px,Brand,substantial,same canvas / spacing gap,same canvas / spacing gap
S0067,/brief-standard/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 554px,Narrative,substantial,same canvas / spacing gap,surface reset
S0068,/brief-standard/,"Portable, bounded, review-oriented.",ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 360px,Narrative,supporting,surface reset,surface reset
S0069,/brief-standard/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 1072px,Narrative,dominant,surface reset,surface reset
S0070,/brief-standard/,ordered-card-strong p-6,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 880px,Narrative,substantial,surface reset,same canvas / spacing gap
S0071,/brief-standard/,ordered-card p-6,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 880px,Narrative,substantial,same canvas / spacing gap,surface reset
S0072,/brief-standard/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 666px,Narrative,substantial,surface reset,surface reset
S0073,/brief-standard/,ordered-card-strong p-6,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 473px,Narrative,supporting,surface reset,same canvas / spacing gap
S0074,/brief-standard/,ordered-card p-6,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 473px,Narrative,supporting,same canvas / spacing gap,surface reset
S0075,/brief-standard/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 809px,Narrative,substantial,surface reset,surface reset
S0076,/brief-standard/,ordered-card-strong p-6,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 617px,Narrative,substantial,surface reset,same canvas / spacing gap
S0077,/brief-standard/,ordered-card p-6,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 617px,Narrative,substantial,same canvas / spacing gap,surface reset
S0078,/brief-standard/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 1066px,Narrative,dominant,surface reset,same canvas / spacing gap
S0079,/brief-standard/,site-shell section-y scroll-mt-24,site-shell section-y scroll-mt-24,Develop the page's primary narrative or task,section depth 1; 1550px,Narrative,dominant,same canvas / spacing gap,same canvas / spacing gap
S0080,/brief-standard/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0081,/brief-standard/,Turn vague requests into usable LMD data,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0082,/brief-standard/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0083,/brief-template/,brief-template-page__masthead site-shell section-y,brief-template-page__masthead site-shell section-y,Orient the visitor and establish the page promise,section depth 1; 747px,Instrument,substantial,same canvas / spacing gap,surface reset
S0084,/brief-template/,band section-y premium-flow-tool-surface,band section-y premium-flow-tool-surface,Develop the page's primary narrative or task,section depth 1; 575px,Instrument,substantial,surface reset,surface reset
S0085,/brief-template/,It makes uncertainty usable.,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 381px,Narrative,supporting,surface reset,same canvas / spacing gap
S0086,/brief-template/,Use it before the recommendation hardens.,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 381px,Narrative,supporting,same canvas / spacing gap,surface reset
S0087,/brief-template/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 904px,Narrative,dominant,surface reset,surface reset
S0088,/brief-template/,"One source object, multiple travel modes.",ordered-card-strong p-6,"Present inspectable evidence, source context, or limitations",article depth 3; 712px,Reference,substantial,surface reset,same canvas / spacing gap
S0089,/brief-template/,What makes a brief useful?,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 712px,Narrative,substantial,same canvas / spacing gap,surface reset
S0090,/brief-template/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 847px,Narrative,substantial,surface reset,surface reset
S0091,/brief-template/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 896px,Narrative,substantial,surface reset,surface reset
S0092,/brief-template/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 4207px,Narrative,dominant,surface reset,surface reset
S0093,/brief-template/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,Narrative,supporting,surface reset,same canvas / spacing gap
S0094,/brief-template/,Turn vague requests into usable LMD data,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0095,/brief-template/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0096,/claims/,site-shell info-page__masthead section-y,site-shell info-page__masthead section-y,Orient the visitor and establish the page promise,section depth 1; 506px,Brand,substantial,same canvas / spacing gap,surface reset
S0097,/claims/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 4531px,Narrative,dominant,surface reset,surface reset
S0098,/claims/,section (unclassed),section (unclassed),Develop the page's primary narrative or task,section depth 3; 2511px,Narrative,dominant,surface reset,surface reset
S0099,/claims/,750 kg+ components,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 461px,Narrative,supporting,surface reset,same canvas / spacing gap
S0100,/claims/,6 structural nodes,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 461px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0101,/claims/,219 h single-node build,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 424px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0102,/claims/,approx. 38 km robot path,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 424px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0103,/claims/,1M+ melt-pool images,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 485px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0104,/claims/,KIT validation context,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 485px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0105,/claims/,local wear repair,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 485px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0106,/claims/,local crack context,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 485px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0107,/claims/,130 mm build-and-coat drill,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 448px,Narrative,supporting,same canvas / spacing gap,surface reset
S0108,/claims/,section (unclassed),section (unclassed),Develop the page's primary narrative or task,section depth 3; 577px,Narrative,substantial,surface reset,surface reset
S0109,/claims/,500-record LMD/DED map,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 448px,Narrative,supporting,surface reset,same canvas / spacing gap
S0110,/claims/,BreitbahnDED targets,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 448px,Narrative,supporting,same canvas / spacing gap,surface reset
S0111,/claims/,section (unclassed),section (unclassed),Develop the page's primary narrative or task,section depth 3; 577px,Narrative,substantial,surface reset,surface reset
S0112,/claims/,2018 LMD paper parameters,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 448px,Narrative,supporting,surface reset,surface reset
S0113,/claims/,section (unclassed),section (unclassed),Develop the page's primary narrative or task,section depth 3; 553px,Narrative,substantial,surface reset,surface reset
S0114,/claims/,500-record LMD/DED map,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 5; 424px,Narrative,supporting,surface reset,surface reset
S0115,/claims/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 318px,Narrative,supporting,surface reset,surface reset
S0116,/claims/,machine-hour scale,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 574px,Narrative,substantial,surface reset,same canvas / spacing gap
S0117,/claims/,print-time reduction,ordered-card p-5,Develop the page's primary narrative or task,article depth 4; 574px,Narrative,substantial,same canvas / spacing gap,surface reset
S0118,/claims/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 327px,Narrative,supporting,surface reset,same canvas / spacing gap
S0119,/claims/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 108px,Instrument,supporting,same canvas / spacing gap,same canvas / spacing gap
S0120,/contact/,site-shell info-page__masthead inner-hero-grid section-y,site-shell info-page__masthead inner-hero-grid section-y,Orient the visitor and establish the page promise,section depth 1; 642px,Brand,substantial,same canvas / spacing gap,surface reset
S0121,/contact/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 765px,Narrative,substantial,surface reset,surface reset
S0122,/contact/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 454px,Narrative,supporting,surface reset,same canvas / spacing gap
S0123,/contact/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 439px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0124,/contact/,Continue through the public profile and work,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0125,/contact/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0126,/de/,site-shell info-page__masthead section-y,site-shell info-page__masthead section-y,Orient the visitor and establish the page promise,section depth 1; 891px,Brand,substantial,same canvas / spacing gap,same canvas / spacing gap
S0127,/de/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 434px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0128,/de/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 1347px,Narrative,dominant,same canvas / spacing gap,surface reset
S0129,/de/,Vage Anfrage,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 539px,Narrative,substantial,surface reset,same canvas / spacing gap
S0130,/de/,Strukturierter Kurzbrief,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 539px,Narrative,substantial,same canvas / spacing gap,surface reset
S0131,/de/,Seiteninformationen,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 108px,Instrument,supporting,surface reset,same canvas / spacing gap
S0132,/decision-map/,decision-map-page__masthead site-shell section-y,decision-map-page__masthead site-shell section-y,Orient the visitor and establish the page promise,section depth 1; 637px,Instrument,substantial,same canvas / spacing gap,surface reset
S0133,/decision-map/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 717px,Narrative,substantial,surface reset,surface reset
S0134,/decision-map/,Damaged or new?,ordered-card p-4,Develop the page's primary narrative or task,article depth 4; 118px,Narrative,supporting,surface reset,same canvas / spacing gap
S0135,/decision-map/,Large or small?,ordered-card p-4,Develop the page's primary narrative or task,article depth 4; 118px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0136,/decision-map/,Local repair or full geometry?,ordered-card p-4,Develop the page's primary narrative or task,article depth 4; 118px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0137,/decision-map/,"Wear, corrosion, heat, cracking, or machining error?",ordered-card p-4,Develop the page's primary narrative or task,article depth 4; 146px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0138,/decision-map/,Is SLM better?,ordered-card p-4,Develop the page's primary narrative or task,article depth 4; 146px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0139,/decision-map/,"Is machining, welding, or replacement better?",ordered-card p-4,Develop the page's primary narrative or task,article depth 4; 146px,Narrative,supporting,same canvas / spacing gap,surface reset
S0140,/decision-map/,site-shell section-y scroll-mt-24 premium-flow-tool-surface,site-shell section-y scroll-mt-24 premium-flow-tool-surface,Develop the page's primary narrative or task,section depth 1; 1247px,Instrument,dominant,surface reset,surface reset
S0141,/decision-map/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 442px,Narrative,supporting,surface reset,surface reset
S0142,/decision-map/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,Narrative,supporting,surface reset,same canvas / spacing gap
S0143,/decision-map/,Turn vague requests into usable LMD data,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0144,/decision-map/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0145,/demo/,demo-page__masthead site-shell section-y,demo-page__masthead site-shell section-y,Orient the visitor and establish the page promise,section depth 1; 600px,Brand,substantial,same canvas / spacing gap,surface reset
S0146,/demo/,band section-y premium-flow-tool-surface,band section-y premium-flow-tool-surface,Develop the page's primary narrative or task,section depth 1; 1300px,Instrument,dominant,surface reset,surface reset
S0147,/demo/,Vague request,ordered-card p-6,Develop the page's primary narrative or task,article depth 3; 1107px,Narrative,dominant,surface reset,same canvas / spacing gap
S0148,/demo/,Usable brief,ordered-card-strong p-6,Develop the page's primary narrative or task,article depth 3; 1107px,Narrative,dominant,same canvas / spacing gap,surface reset
S0149,/demo/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 1057px,Narrative,dominant,surface reset,surface reset
S0150,/demo/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 5769px,Narrative,dominant,surface reset,surface reset
S0151,/demo/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 738px,Narrative,substantial,surface reset,surface reset
S0152,/demo/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,Narrative,supporting,surface reset,same canvas / spacing gap
S0153,/demo/,Turn vague requests into usable LMD data,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Narrative,supporting,same canvas / spacing gap,surface reset
S0154,/demo/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0155,/domains/lmd-ded/,site-shell info-page__masthead grid gap-10,site-shell info-page__masthead grid gap-10,Orient the visitor and establish the page promise,section depth 1; 716px,Brand,substantial,same canvas / spacing gap,same canvas / spacing gap
S0156,/domains/lmd-ded/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 507px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0157,/domains/lmd-ded/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 764px,Narrative,substantial,same canvas / spacing gap,surface reset
S0158,/domains/lmd-ded/,Why LMD/DED is my current proving ground,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 3; 154px,Narrative,supporting,surface reset,same canvas / spacing gap
S0159,/domains/lmd-ded/,Connection to repairability,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 3; 154px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0160,/domains/lmd-ded/,Connection to quality evidence,ordered-card-strong p-5,"Present inspectable evidence, source context, or limitations",article depth 3; 154px,Reference,supporting,same canvas / spacing gap,same canvas / spacing gap
S0161,/domains/lmd-ded/,Connection to Exafuse public context,ordered-card-strong p-5,Develop the page's primary narrative or task,article depth 3; 154px,Narrative,supporting,same canvas / spacing gap,surface reset
S0162,/domains/lmd-ded/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 728px,Narrative,substantial,surface reset,same canvas / spacing gap
S0163,/domains/lmd-ded/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 661px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0164,/domains/lmd-ded/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 546px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0165,/domains/lmd-ded/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 877px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0166,/domains/lmd-ded/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 1080px,Narrative,dominant,same canvas / spacing gap,same canvas / spacing gap
S0167,/domains/lmd-ded/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 720px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0168,/domains/lmd-ded/,band section-y,band section-y,Develop the page's primary narrative or task,section depth 1; 712px,Narrative,substantial,same canvas / spacing gap,same canvas / spacing gap
S0169,/domains/lmd-ded/,site-shell section-y,site-shell section-y,Develop the page's primary narrative or task,section depth 1; 408px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0170,/domains/lmd-ded/,closing-path,closing-path,Conclude the current path and route the next action,section depth 0; 419px,Narrative,supporting,same canvas / spacing gap,same canvas / spacing gap
S0171,/domains/lmd-ded/,Follow the LMD/DED evidence trail,closing-path__header,Orient the visitor and establish the page promise,header depth 2; 119px,Reference,supporting,same canvas / spacing gap,surface reset
S0172,/domains/lmd-ded/,Page information,site-shell page-provenance,"Expose review status, ownership, and decision boundary",aside depth 0; 109px,Instrument,supporting,surface reset,same canvas / spacing gap
S0173,/evidence/,site-shell section-y evidence-base__masthead,site-shell section-y evidence-base__masthead,Orient the visitor and establish the page promise,section depth 1; 817px,Reference,substantial,same canvas / spacing gap,surface reset
